,headlines,text,source,link
6952,"Sun Pharma shuts 2 Gujarat research units, 85 employees lose jobs","India's largest drugmaker Sun Pharma has decided to shut down two of its clinical pharmacology units in Gujarat's Vadodara, leaving around 85 employees jobless. The employees were terminated without any prior intimation and were given three months' worth of salary, as per reports. The company added that the bio-equivalence studies from these centres will be transferred to its other facilities.",Livemint,https://www.livemint.com/companies/news/85-employees-of-sun-pharma-s-vadodara-r-d-unit-get-terminated-1564755649300.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6954,Confirm WhatsApp's data norms compliance in 6 weeks: SC to RBI,"The Supreme Court has given six weeks to the RBI to confirm and present a report on the compliance of data localisation norms by Facebook-owned WhatsApp. The court has also asked the government to clarify if WhatsApp needs to have a grievance officer in India. Notably, the full-scale roll-out of WhatsApp's payments service is stuck over the data localisation norms.",Entrackr,https://entrackr.com/2019/08/sc-asks-rbi-to-file-whatsapp-data-localisation-report/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6956,High import duties will make Tesla unaffordable in India: CEO Musk,"Tesla CEO Elon Musk, responding to a Twitter user about the launch of the automaker's cars in India, said, ""I'm told import duties are extremely high (up to 100%), even for electric cars."" ""This would make our cars unaffordable,"" he added. Musk had earlier told IIT Madras students that Tesla cars may come to India in 2020.",Times Now,https://www.timesnownews.com/technology-science/article/high-import-duties-keeping-tesla-off-indian-roads-tesla-ceo-elon-musk/462859?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6957,"2 militants killed in J&K encounters, 2 Army jawans injured","Two militants were killed in separate encounters with security forces in Baramulla and Shopian districts of Jammu and Kashmir on Saturday, the police said. One of the terrorists has been identified as Manzoor Bhat, who was involved in several terror attacks on security establishments. Meanwhile, two Army personnel were injured in the Shopian encounter.",ANI,https://www.aninews.in/news/national/general-news/shopian-encounter-one-more-terrorist-killed20190803135245/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6958,1 held over viral video of UP man shooting at b'day cake with friends,"A man was arrested on Friday after a video of an Uttar Pradesh man shooting at his birthday cake and his friends indulging in celebratory firing went viral on social media. ""The video was about a month old,"" police said, as they added that another accused in the case is absconding. The accused were allegedly using illegal countrymade pistols.",ANI,https://www.aninews.in/news/national/general-news/up-one-held-in-baghpat-celebratory-firing-case20190803062748/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6959,Garbage spewed by sea at Marine Drive amid high tide in Mumbai,The Brihanmumbai Municipal Corporation (BMC) workers cleaned the garbage spewed by the sea at Marine Drive as high tide hit Mumbai on Saturday. This comes as heavy to very heavy rainfall in the next 24 hours has been forecasted in Mumbai. The Mumbai Police has issued an advisory asking residents to take adequate precautions and travel only if necessary.,ANI,https://twitter.com/ANI/status/1157583957606699008?s=20&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6960,"UK, Germany warn citizens against travelling to Jammu & Kashmir","The UK and Germany have issued a travel advisory for their nationals, discouraging them to travel to Jammu & Kashmir. Urgently discouraging travelling to Jammu & Kashmir following a security alert by the government, their advisories said. Those who are currently in Kashmir are encouraged to leave the state, they added.",Times Now,https://www.timesnownews.com/india/article/amarnath-yatra-cancelled-live-situation-in-kashmir-red-alert-in-jammu-and-kashmir/463167?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6962,Girl saves brother as rope stuck in lift door drags him up by neck,"A girl saved her five-year-old brother's life after a rope stuck in a lift door dragged him up by his neck in Turkey. In a video that went viral, the girl can be seen grabbing her brother's legs to ease the pressure on his neck and pushed a button to stop the lift. She then freed him from the noose.",Times Now,https://www.timesnownews.com/the-buzz/article/video-sisters-quick-thinking-saves-little-boys-life-after-rope-trapped-in-lifts-door-drags-him-up-by-neck/463235?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6963,"Miss Venezuela pageant stops publishing contestants' hip, waist sizes","The Miss Venezuela beauty pageant has stopped the practice of publishing contestants' waist, hip and bust measurements as part of its contest. The event, running since 1952, always publicly divulged the measurements of its contestants to the audience members. ""A woman's beauty isn't 90, 60, 90...It's measured by each one's talent,"" a spokesperson for Miss Venezuela said.",The Independent,https://www.independent.co.uk/life-style/women/miss-venezuela-beauty-pageant-2019-measurements-contestants-a9030621.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6965,Why there was no food or glasses at Karan Johar's party: MLA,"Shiromani Akali Dal MLA Manjinder Sirsa, after accusing actors at Karan Johar's party to be in ""drugged state"", has written an open letter to Bollywood asking why there was no food or drink glasses. Sirsa further asked, ""Why did you all appear shamelessly out of your senses?"" He also accused stars of ""breaking nation's trust"".",Hindustan Times,https://www.hindustantimes.com/bollywood/mla-pens-open-letter-to-udta-bollywood-if-it-was-not-a-drug-party-why-were-there-no-food-or-drink-glasses/story-OyiollVrf9My2eacj364qM.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
