33,It's lingo that is fun: Dhoni on video of friends playing gully cricket,"Ex-India captain MS Dhoni took to Instagram to share a video of his friends playing gully cricket. ""It's the lingo that’s fun... trial ball, umpires decision last decision. Brings back memory from school days,"" he wrote. In the video, Dhoni's friend can be seen getting bowled after which he says he wasn't ready and gets out on the next ball.",CricTracker,https://www.crictracker.com/ms-dhoni-reminisces-a-memory-from-school-days-when-trail-balls-existed-in-gully-cricket/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
34,Mom worried about my marriage as I don't have a degree: OYO Founder,"OYO Rooms' 25-year-old Founder and CEO Ritesh Agarwal in an interview to The Financial Express said, ""My mom is surely worried about the fact that I don't have a college degree."" ""She thinks this will impact my chances of finding a bride,"" he added. Agarwal dropped out of college at the age of 17 and founded OYO Rooms in 2013.",The Financial Express,https://www.financialexpress.com/industry/sme/oyo-founder-ritesh-agarwal-my-mom-says-i-wont-find-a-bride-as-i-dont-have-college-degree-interview/1716169/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
35,PM Modi knows how to deal with it: Trump on tackling terrorism from Pak,"When asked about tackling terrorism from Pakistan, US President Donald Trump said that Prime Minister Narendra Modi knows how to deal with it. ""It will be great if (PM Modi and Pakistan PM Imran Khan) can work out something on Kashmir,"" he added. Trump further said that India and the US will have a trade deal very soon.",The Quint,https://www.thequint.com/news/india/pm-modi-in-us-live?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
36,"PM Modi, Pak PM will get along when they get to know each other: Trump","US President Donald Trump said on Tuesday that he believed Prime Minister Narendra Modi and Pakistan Prime Minister Imran Khan will get along when they get to know each other. ""I believe these two great gentlemen (PM Modi and Imran Khan) will get together and work something out,"" Trump further said about the ongoing tensions between India and Pakistan.",Twitter,https://twitter.com/ANI/status/1176539349506285568?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
37,"Court orders accommodation for Unnao rape survivor, family in Delhi",A Delhi court on Tuesday issued directions under the witness protection guidelines to arrange accommodation for the Unnao rape survivor and her family in Delhi. This comes after the Uttar Pradesh government filed a report in the court stating that the survivor and her family wanted to reside in the national capital as they apprehend threat in their home state.,PTI,https://repository.inshorts.com/articles/en/PTI/543e09ee-0b38-429c-afad-b4bc83ddb056?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
38,PM Modi is like Elvis Presley of India: Donald Trump,"During the joint press conference after their meeting on the sidelines of the United Nations General Assembly, US President Donald Trump said, ""People went crazy at 'Howdy, Modi' event. The crowd loved him."" ""He is like Elvis Presley of India,"" Trump added. He further told the Indian reporters, ""You've got a great PM, he'll solve all the problems.""",ANI,https://twitter.com/smitaprakash/status/1176535748624838656?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
39,"You've great reporters, I wish I'd reporters like them: Trump to PM Modi","During a joint press conference with PM Narendra Modi, US President Donald Trump, while responding to an Indian reporter who asked if there was a roadmap to deal with Pakistan-sponsored terror, said, ""You've got great reporters."" ""I wish I'd reporters like them. They're doing better than anybody I have heard,"" he added. ""Where do you find these reporters?"" he asked.",ANI,https://twitter.com/smitaprakash/status/1176536715772563456?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
40,Indian Army clears 130 tonnes of garbage from Siachen Glacier,"The Indian Army has stated that it has cleaned about 130 tonnes of garbage from the Siachen Glacier. Out of the 130.14 tonnes, 48.14 tonnes of waste is non-biodegradable, while 40 tonnes include glass and plastic waste. The Indian Army further stated it has asked the troops to bring back whatever little garbage they can to the base camp.",ANI,https://www.aninews.in/news/national/general-news/indian-army-clears-130-tonnes-of-garbage-from-siachen-glacier20190924183958/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
41,Rajnath Singh congratulates Big B for Dadasaheb Phalke Award,"Union Minister Rajnath Singh on Tuesday congratulated actor Amitabh Bachchan for being selected for Dadasaheb Phalke Award. ""He is one of the actors...who has ruled the hearts of cine lovers for long. In the five decades, he showcased his art of acting and talent in many films,"" Singh added. I&B Minister Prakash Javadekar made the announcement about it earlier today.",Times Now,https://www.timesnownews.com/india/article/amitabh-bachchan-ruled-hearts-of-cine-lovers-for-long-rajnath-singh-congratulates-actor-for-dadasaheb-phalke/494523?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
42,Manchester United post record revenue of £627 million,"Premier League side Manchester United announced record revenues of £627 million on Tuesday. ""We remain focused on our plan of rebuilding the team and continuing to strengthen our youth system, in line with the philosophy of the club and the manager,"" the club's executive vice-chairman Ed Woodward said. United have won just two of their last 11 league matches.",Hindustan Times,https://www.hindustantimes.com/football/manchester-united-post-record-revenue-of-627-million/story-bspXujCWXdjqD4LBaJ5P7N.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
